id	name	charge	chemformula	compartment	fixed	Legend	AltNames
C00024	Acetyl-CoA		C23H38N7O17P3S				Acetyl coenzyme A
C00026	2-Oxoglutarate		C5H6O5				Oxoglutaric acid;2-Ketoglutaric acid;alpha-Ketoglutaric acid
C00021	S-Adenosyl-L-homocysteine		C14H20N6O5S				S-Adenosylhomocysteine
C00020	AMP		C10H14N5O7P				Adenosine 5'-monophosphate;Adenylic acid;Adenylate;5'-AMP;5'-Adenylic acid;5'-Adenosine monophosphate;Adenosine 5'-phosphate
C00022	Pyruvate		C3H4O3				Pyruvic acid;2-Oxopropanoate;2-Oxopropanoic acid;Pyroracemic acid
C00143	5,10-Methylenetetrahydrofolate		C20H23N7O6				(6R)-5,10-Methylenetetrahydrofolate;5,10-Methylene-THF
C00146	Phenol		C6H6O				Benzenol;Hydroxybenzene;Phenic acid;Phenylic acid
C00028	Acceptor		Not found				Hydrogen-acceptor;A;Oxidized donor
C00149	(S)-Malate		C4H6O5				L-Malate;L-Apple acid;L-Malic acid;L-2-Hydroxybutanedioic acid;Malate;Malic acid
C05358	Reduced azurin		Not found				Azurinred
C18323	3-Methylfumaryl-CoA		C26H40N7O19P3S				(E)-3-Carboxybut-2-enoyl-CoA;Mesaconyl-C4-CoA
C05357	Oxidized azurin		Not found				Azurinox
C01455	Toluene		C7H8				Methylbenzene;Toluol
C00533	Nitric oxide		NO				NO;Nitrogen monoxide
C00232	Succinate semialdehyde		C4H6O3				Succinic semialdehyde;4-Oxobutanoate
C00234	10-Formyltetrahydrofolate		C20H23N7O7				10-Formyl-THF
C00237	CO		CO				Carbon monoxide
C00010	CoA		C21H36N7O16P3S				Coenzyme A;CoA-SH
C00011	CO2		CO2				Carbon dioxide
C00013	Diphosphate		H4P2O7				Diphosphoric acid;Pyrophosphate;Pyrophosphoric acid;PPi
C00014	Ammonia		NH3				NH3
C00019	S-Adenosyl-L-methionine		C15H22N6O5S				S-Adenosylmethionine;AdoMet;SAM
C15603	Hydroquinone		Not found				p-Hydroquinone;Quinol;Reduced quinone
C15602	Quinone		Not found				
C19846	Pimeloyl-[acyl-carrier protein] methyl ester		C8H13O3SR				Pimeloyl-[acp] methyl ester;Pimelyl-[acyl-carrier protein] methyl ester;Pimelyl-[acp] methyl ester
C00227	Acetyl phosphate		C2H5O5P				
C00222	3-Oxopropanoate		C3H4O3				Malonate semialdehyde
C01037	7,8-Diaminononanoate		C9H20N2O2				7,8-Diaminopelargonic acid;DAPA
C15596	n-Alkanal		Not found				
C00229	Acyl-carrier protein		HSR				ACP;[Acyl-carrier protein];Holo-[acyl-carrier protein]
C02745	Reduced flavodoxin		Not found				
C00894	Propenoyl-CoA		C24H38N7O17P3S				Acryloyl-CoA;Acrylyl-CoA
C20373	3-Hydroxyglutaryl-[acp] methyl ester		C6H9O4SR				3-Hydroxyglutaryl-[acyl-carrier protein] methyl ester
C20372	3-Ketoglutaryl-[acp] methyl ester		C6H7O4SR				3-Ketoglutaryl-[acyl-carrier protein] methyl ester
C20377	3-Hydroxypimeloyl-[acp] methyl ester		C8H13O4SR				3-Hydroxypimeloyl-[acyl-carrier protein] methyl ester
C20376	3-Ketopimeloyl-[acp] methyl ester		C8H11O4SR				3-Ketopimeloyl-[acyl-carrier protein] methyl ester
C00009	Orthophosphate		H3PO4				Phosphate;Phosphoric acid;Orthophosphoric acid
C00008	ADP		C10H15N5O10P2				Adenosine 5'-diphosphate
C00007	Oxygen		O2				O2
C00006	NADP+		C21H29N7O17P3				NADP;Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;TPN;Triphosphopyridine nucleotide;beta-NADP+
C00005	NADPH		C21H30N7O17P3				TPNH;Reduced nicotinamide adenine dinucleotide phosphate
C00004	NADH		C21H29N7O14P2				DPNH;Reduced nicotinamide adenine dinucleotide
C00003	NAD+		C21H28N7O14P2				NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+
C00002	ATP		C10H16N5O13P3				Adenosine 5'-triphosphate
C00001	H2O		H2O				Water
C04253	Electron-transferring flavoprotein		Not found				Electron-transfer flavoprotein
C11062	4-Hydroxybutyryl-CoA		C25H42N7O18P3S				4-Hydroxybutanoyl-CoA
C00399	Ubiquinone		C14H18O4(C5H8)n				Coenzyme Q;CoQ;Q
C06020	Methyl-Co(III) corrinoid protein		C20H3CoN4R21				Methylcorrinoid;Methylcorrinoid protein;Corrinoid protein Co2+-CH3
C06027	L-erythro-3-Methylmalyl-CoA		C26H42N7O20P3S				beta-Methylmalyl-CoA;(2R,3S)-2-Methylmalyl-CoA;L-erythro-beta-Methylmalyl-CoA;(2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-CoA
C00139	Oxidized ferredoxin		Not found				Oxidized ferredoxin [iron-sulfur] cluster
C01000	Ferrocytochrome c2		Not found				
C06028	2-Methylfumaryl-CoA		C26H40N7O19P3S				Mesaconyl-CoA;Mesaconyl-C1-CoA;(E)-3-Carboxy-2-methylprop-2-enoyl-CoA
C00311	Isocitrate		C6H8O7				Isocitric acid;1-Hydroxytricarballylic acid;1-Hydroxypropane-1,2,3-tricarboxylic acid
C00887	Nitrous oxide		N2O				Dinitrogen monoxide;Dinitrogen oxide;N2O
C00091	Succinyl-CoA		C25H40N7O19P3S				Succinyl coenzyme A
C09820	Benzoylsuccinyl-CoA		C32H44N7O20P3S				2-Benzoylsuccinyl-CoA
C00074	Phosphoenolpyruvate		C3H5O6P				Phosphoenolpyruvic acid;PEP
C00132	Methanol		CH4O				Methyl alcohol;CH3OH
C01013	3-Hydroxypropanoate		C3H6O3				3-Hydroxypropanoic acid;3-Hydroxypropionate;3-Hydroxypropionic acid;Hydracrylic acid
C00877	Crotonoyl-CoA		C25H40N7O17P3S				Crotonyl-CoA;2-Butenoyl-CoA;trans-But-2-enoyl-CoA;But-2-enoyl-CoA;(E)-But-2-enoyl-CoA
C01011	(3S)-Citramalyl-CoA		C26H42N7O20P3S				L-Citramalyl-CoA;(S)-Citramalyl-CoA;(3S)-3-Carboxy-3-hydroxybutanoyl-CoA
C00083	Malonyl-CoA		C24H38N7O19P3S				Malonyl coenzyme A
C00244	Nitrate		HNO3				Nitric acid
C00080	H+		H				Hydron
C00088	Nitrite		HNO2				
C01092	8-Amino-7-oxononanoate		C9H17NO3				8-Amino-7-oxononanoic acid;7-Keto-8-aminopelargonic acid;KAPA
C00566	(3S)-Citryl-CoA		C27H42N7O22P3S				
C00100	Propanoyl-CoA		C24H40N7O17P3S				Propionyl-CoA;Propionyl coenzyme A
C00101	Tetrahydrofolate		C19H23N7O6				5,6,7,8-Tetrahydrofolate;Tetrahydrofolic acid;THF;(6S)-Tetrahydrofolate;(6S)-Tetrahydrofolic acid;(6S)-THFA
C01063	6-Carboxyhexanoyl-CoA		C28H46N7O19P3S				Pimeloyl-CoA
C19673	Malonyl-[acp] methyl ester		C4H5O3SR				Malonyl-[acyl-carrier protein] methyl ester
C04076	L-2-Aminoadipate 6-semialdehyde		C6H11NO3				2-Aminoadipate 6-semialdehyde;L-Allysine;Allysine;(S)-2-Amino-6-oxohexanoate
C04570	Reduced electron-transferring flavoprotein		Not found				Reduced electron-transfer flavoprotein
C20375	Glutaryl-[acp] methyl ester		C6H9O3SR				Glutaryl-[acyl-carrier protein] methyl ester
C04425	S-Adenosyl-4-methylthio-2-oxobutanoate		C15H20N5O6S				
C01144	(S)-3-Hydroxybutanoyl-CoA		C25H42N7O18P3S				(S)-3-Hydroxybutyryl-CoA
C00282	Hydrogen		H2				H2
C00989	4-Hydroxybutanoic acid		C4H8O3				4-Hydroxybutanoate;4-Hydroxybutyric acid
C20378	Enoylpimeloyl-[acp] methyl ester		C8H11O3SR				Enoylpimeloyl-[acyl-carrier protein] methyl ester
C04348	L-Malyl-CoA		C25H40N7O20P3S				(S)-Malyl-CoA;Malyl-CoA;(3S)-3-Carboxy-3-hydroxypropanoyl-CoA;(3S)-3-Carboxy-3-hydroxypropionyl-CoA
C00697	Nitrogen		N2				N2
C09817	Benzylsuccinyl-CoA		C32H46N7O19P3S				(R)-2-Benzylsuccinyl-CoA
C09816	Benzylsuccinate		C11H12O4				(R)-2-Benzylsuccinate
C09819	(Hydroxymethylphenyl)succinyl-CoA		C32H46N7O20P3S				
C09818	E-Phenylitaconyl-CoA		C32H44N7O19P3S				(E)-2-Benzylidenesuccinyl-CoA
C00997	Ferricytochrome c2		Not found				
C00180	Benzoate		C7H6O2				Benzoic acid;Benzenecarboxylic acid;Phenylformic acid;Dracylic acid
C20683	Long-chain acyl-[acyl-carrier protein]		C3H4OSR2				
C00122	Fumarate		C4H4O4				Fumaric acid;trans-Butenedioic acid
C00125	Ferricytochrome c		C42H44FeN8O8S2R4				Cytochrome c3+
C00126	Ferrocytochrome c		C42H44FeN8O8S2R4				Cytochrome c2+;Reduced cytochrome c
C00158	Citrate		C6H8O7				Citric acid;2-Hydroxy-1,2,3-propanetricarboxylic acid;2-Hydroxytricarballylic acid
C00288	HCO3-		HCO3				Bicarbonate;Hydrogen carbonate;Acid carbonate
C00683	(S)-Methylmalonyl-CoA		C25H40N7O19P3S				(S)-Methylmalonyl-coenzyme A;(2S)-Methylmalonyl-CoA;D-Methylmalonyl-CoA
C02949	4-Hydroxybenzoyl-CoA		C28H40N7O18P3S				
C00512	S-Benzoate coenzyme A		C28H40N7O17P3S				Benzoyl-CoA
C00042	Succinate		C4H6O4				Succinic acid;Butanedionic acid;Ethylenesuccinic acid
C02869	Oxidized flavodoxin		Not found				
C01209	Malonyl-[acyl-carrier protein]		C3H3O3SR				Malonyl-[acp]
C02656	Pimelate		C7H12O4				Pimelic acid;Heptanedioic acid;6-Carboxyhexanoate
C00058	Formate		CH2O2				Methanoic acid;Formic acid
