id	name	charge	chemformula	compartment	fixed	Legend	AltNames
C00025	L-Glutamate		C5H9NO4				L-Glutamic acid;L-Glutaminic acid;Glutamate
C00024	Acetyl-CoA		C23H38N7O17P3S				Acetyl coenzyme A
C00027	Hydrogen peroxide		H2O2				H2O2;Oxydol
C00026	2-Oxoglutarate		C5H6O5				Oxoglutaric acid;2-Ketoglutaric acid;alpha-Ketoglutaric acid
C00021	S-Adenosyl-L-homocysteine		C14H20N6O5S				S-Adenosylhomocysteine
C00020	AMP		C10H14N5O7P				Adenosine 5'-monophosphate;Adenylic acid;Adenylate;5'-AMP;5'-Adenylic acid;5'-Adenosine monophosphate;Adenosine 5'-phosphate
C00022	Pyruvate		C3H4O3				Pyruvic acid;2-Oxopropanoate;2-Oxopropanoic acid;Pyroracemic acid
C00146	Phenol		C6H6O				Benzenol;Hydroxybenzene;Phenic acid;Phenylic acid
C00028	Acceptor		Not found				Hydrogen-acceptor;A;Oxidized donor
C00149	(S)-Malate		C4H6O5				L-Malate;L-Apple acid;L-Malic acid;L-2-Hydroxybutanedioic acid;Malate;Malic acid
C05358	Reduced azurin		Not found				Azurinred
C18323	3-Methylfumaryl-CoA		C26H40N7O19P3S				(E)-3-Carboxybut-2-enoyl-CoA;Mesaconyl-C4-CoA
C05357	Oxidized azurin		Not found				Azurinox
C01455	Toluene		C7H8				Methylbenzene;Toluol
C00533	Nitric oxide		NO				NO;Nitrogen monoxide
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate		C14H23N4O8P2S				2-Hydroxyethyl-ThPP
C00536	Triphosphate		H5P3O10				Triphosphoric acid;Tripolyphosphate;Inorganic triphosphate
C06250	Holo-[carboxylase]		C17H27N5O4SR2				Biotin-carboxyl-carrier protein
C00232	Succinate semialdehyde		C4H6O3				Succinic semialdehyde;4-Oxobutanoate
C00010	CoA		C21H36N7O16P3S				Coenzyme A;CoA-SH
C00011	CO2		CO2				Carbon dioxide
C00012	Peptide		C2H4NO2R(C2H2NOR)n				
C00013	Diphosphate		H4P2O7				Diphosphoric acid;Pyrophosphate;Pyrophosphoric acid;PPi
C00014	Ammonia		NH3				NH3
C00019	S-Adenosyl-L-methionine		C15H22N6O5S				S-Adenosylmethionine;AdoMet;SAM
C15603	Hydroquinone		Not found				p-Hydroquinone;Quinol;Reduced quinone
C15602	Quinone		Not found				
C00156	4-Hydroxybenzoate		C7H6O3				Hydroxybenzoic acid;4-Hydroxybenzoic acid;Hydroxybenzenecarboxylic acid
C01230	all-trans-Hexaprenyl diphosphate		C30H52O7P2				
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine		C10H18NO2S2R				S-Acetyldihydrolipoamide-E
C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine		C12H20NO4S2R				S-Succinyldihydrolipoamide-E
C05552	Biocytin		C16H28N4O4S				N6-D-Biotinyl-L-lysine;epsilon-N-Biotinyl-L-lysine
C00227	Acetyl phosphate		C2H5O5P				
C04145	all-trans-Nonaprenyl diphosphate		C45H76O7P2				Solanesyl pyrophosphate;Solanesyl diphosphate
C00222	3-Oxopropanoate		C3H4O3				Malonate semialdehyde
C04628	Coenzyme B		C11H22NO7PS				N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate;N-(7-Mercaptoheptanoyl)threonine O3-phosphate;HTP
C06249	Apo-[carboxylase]		C7H13N3O2R2				
C00894	Propenoyl-CoA		C24H38N7O17P3S				Acryloyl-CoA;Acrylyl-CoA
C04146	all-trans-Octaprenyl diphosphate		C40H68O7P2				Farnesylfarnesylgeraniol
