id	name	charge	chemformula	compartment	fixed	Legend	AltNames
C00025	L-Glutamate		C5H9NO4				L-Glutamic acid;L-Glutaminic acid;Glutamate
C00024	Acetyl-CoA		C23H38N7O17P3S				Acetyl coenzyme A
C00122	Fumarate		C4H4O4				Fumaric acid;trans-Butenedioic acid
C00149	(S)-Malate		C4H6O5				L-Malate;L-Apple acid;L-Malic acid;L-2-Hydroxybutanedioic acid;Malate;Malic acid
C00020	AMP		C10H14N5O7P				Adenosine 5'-monophosphate;Adenylic acid;Adenylate;5'-AMP;5'-Adenylic acid;5'-Adenosine monophosphate;Adenosine 5'-phosphate
C00009	Orthophosphate		H3PO4				Phosphate;Phosphoric acid;Orthophosphoric acid
C00008	ADP		C10H15N5O10P2				Adenosine 5'-diphosphate
C00007	Oxygen		O2				O2
C00006	NADP+		C21H29N7O17P3				NADP;Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;TPN;Triphosphopyridine nucleotide;beta-NADP+
C00005	NADPH		C21H30N7O17P3				TPNH;Reduced nicotinamide adenine dinucleotide phosphate
C00004	NADH		C21H29N7O14P2				DPNH;Reduced nicotinamide adenine dinucleotide
C00003	NAD+		C21H28N7O14P2				NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+
C00002	ATP		C10H16N5O13P3				Adenosine 5'-triphosphate
C00001	H2O		H2O				Water
C00026	2-Oxoglutarate		C5H6O5				Oxoglutaric acid;2-Ketoglutaric acid;alpha-Ketoglutaric acid
C05358	Reduced azurin		Not found				Azurinred
C00288	HCO3-		HCO3				Bicarbonate;Hydrogen carbonate;Acid carbonate
C05357	Oxidized azurin		Not found				Azurinox
C00390	Ubiquinol		C14H20O4(C5H8)n				QH2;CoQH2
C00125	Ferricytochrome c		C42H44FeN8O8S2R4				Cytochrome c3+
C01563	Carbamate		CH3NO2				Carbamic acid;Aminoformic acid
C11062	4-Hydroxybutyryl-CoA		C25H42N7O18P3S				4-Hydroxybutanoyl-CoA
C00399	Ubiquinone		C14H18O4(C5H8)n				Coenzyme Q;CoQ;Q
C00126	Ferrocytochrome c		C42H44FeN8O8S2R4				Cytochrome c2+;Reduced cytochrome c
C00071	Aldehyde		CHOR				RCHO
C00533	Nitric oxide		NO				NO;Nitrogen monoxide
C01144	(S)-3-Hydroxybutanoyl-CoA		C25H42N7O18P3S				(S)-3-Hydroxybutyryl-CoA
C00022	Pyruvate		C3H4O3				Pyruvic acid;2-Oxopropanoate;2-Oxopropanoic acid;Pyroracemic acid
C01417	Cyanate		CHNO				Cyanic acid
C00726	Nitrile		CNR				R-CN
C00061	FMN		C17H21N4O9P				Riboflavin-5-phosphate;Flavin mononucleotide
C00060	Carboxylate		CO2R				R-COOH;Monocarboxylate;Carboxylic acid
C00010	CoA		C21H36N7O16P3S				Coenzyme A;CoA-SH
C00091	Succinyl-CoA		C25H40N7O19P3S				Succinyl coenzyme A
C00232	Succinate semialdehyde		C4H6O3				Succinic semialdehyde;4-Oxobutanoate
C00058	Formate		CH2O2				Methanoic acid;Formic acid
C00989	4-Hydroxybutanoic acid		C4H8O3				4-Hydroxybutanoate;4-Hydroxybutyric acid
C00036	Oxaloacetate		C4H4O5				Oxalacetic acid;Oxaloacetic acid;2-Oxobutanedioic acid;2-Oxosuccinic acid;keto-Oxaloacetate
C00011	CO2		CO2				Carbon dioxide
C00013	Diphosphate		H4P2O7				Diphosphoric acid;Pyrophosphate;Pyrophosphoric acid;PPi
C00014	Ammonia		NH3				NH3
C00139	Oxidized ferredoxin		Not found				Oxidized ferredoxin [iron-sulfur] cluster
C00138	Reduced ferredoxin		Not found				Reduced ferredoxin [iron-sulfur] cluster
C00030	Reduced acceptor		Not found				AH2;Hydrogen-donor;Donor
C00332	Acetoacetyl-CoA		C25H40N7O18P3S				Acetoacetyl coenzyme A;3-Acetoacetyl-CoA
C15603	Hydroquinone		Not found				p-Hydroquinone;Quinol;Reduced quinone
C15602	Quinone		Not found				
C00074	Phosphoenolpyruvate		C3H5O6P				Phosphoenolpyruvic acid;PEP
C00064	L-Glutamine		C5H10N2O3				L-2-Aminoglutaramic acid
C00887	Nitrous oxide		N2O				Dinitrogen monoxide;Dinitrogen oxide;N2O
C00877	Crotonoyl-CoA		C25H40N7O17P3S				Crotonyl-CoA;2-Butenoyl-CoA;trans-But-2-enoyl-CoA;But-2-enoyl-CoA;(E)-But-2-enoyl-CoA
C00192	Hydroxylamine		NH3O				NH2OH
C18091	Ethylnitronate		C2H4NO2				
C00027	Hydrogen peroxide		H2O2				H2O2;Oxydol
C00084	Acetaldehyde		C2H4O				Ethanal
C00282	Hydrogen		H2				H2
C00244	Nitrate		HNO3				Nitric acid
C00080	H+		H				Hydron
C00028	Acceptor		Not found				Hydrogen-acceptor;A;Oxidized donor
C00088	Nitrite		HNO2				
C00042	Succinate		C4H6O4				Succinic acid;Butanedionic acid;Ethylenesuccinic acid
C01847	Reduced FMN		C17H23N4O9P				FMNH2
C00488	Formamide		CH3NO				Methanamide
C00169	Carbamoyl phosphate		CH4NO5P				
C06058	Nitroalkane		NO2R				
C00697	Nitrogen		N2				N2
