id	name	charge	chemformula	compartment	fixed	Legend	AltNames
C00024	Acetyl-CoA		C23H38N7O17P3S				Acetyl coenzyme A
C00020	AMP		C10H14N5O7P				Adenosine 5'-monophosphate;Adenylic acid;Adenylate;5'-AMP;5'-Adenylic acid;5'-Adenosine monophosphate;Adenosine 5'-phosphate
C00100	Propanoyl-CoA		C24H40N7O17P3S				Propionyl-CoA;Propionyl coenzyme A
C00008	ADP		C10H15N5O10P2				Adenosine 5'-diphosphate
C00006	NADP+		C21H29N7O17P3				NADP;Nicotinamide adenine dinucleotide phosphate;beta-Nicotinamide adenine dinucleotide phosphate;TPN;Triphosphopyridine nucleotide;beta-NADP+
C00005	NADPH		C21H30N7O17P3				TPNH;Reduced nicotinamide adenine dinucleotide phosphate
C00004	NADH		C21H29N7O14P2				DPNH;Reduced nicotinamide adenine dinucleotide
C00003	NAD+		C21H28N7O14P2				NAD;Nicotinamide adenine dinucleotide;DPN;Diphosphopyridine nucleotide;Nadide;beta-NAD+
C00002	ATP		C10H16N5O13P3				Adenosine 5'-triphosphate
C00001	H2O		H2O				Water
C00683	(S)-Methylmalonyl-CoA		C25H40N7O19P3S				(S)-Methylmalonyl-coenzyme A;(2S)-Methylmalonyl-CoA;D-Methylmalonyl-CoA
C11062	4-Hydroxybutyryl-CoA		C25H42N7O18P3S				4-Hydroxybutanoyl-CoA
C00009	Orthophosphate		H3PO4				Phosphate;Phosphoric acid;Orthophosphoric acid
C05668	3-Hydroxypropionyl-CoA		C24H40N7O18P3S				3-Hydroxypropionyl coenzyme A;3-Hydroxypropanoyl-CoA;3-Hydroxypropanoyl coenzymeA;beta-Hydroxypropionyl-CoA
C01144	(S)-3-Hydroxybutanoyl-CoA		C25H42N7O18P3S				(S)-3-Hydroxybutyryl-CoA
C00091	Succinyl-CoA		C25H40N7O19P3S				Succinyl coenzyme A
C00232	Succinate semialdehyde		C4H6O3				Succinic semialdehyde;4-Oxobutanoate
C00989	4-Hydroxybutanoic acid		C4H8O3				4-Hydroxybutanoate;4-Hydroxybutyric acid
C00010	CoA		C21H36N7O16P3S				Coenzyme A;CoA-SH
C00013	Diphosphate		H4P2O7				Diphosphoric acid;Pyrophosphate;Pyrophosphoric acid;PPi
C00332	Acetoacetyl-CoA		C25H40N7O18P3S				Acetoacetyl coenzyme A;3-Acetoacetyl-CoA
C00288	HCO3-		HCO3				Bicarbonate;Hydrogen carbonate;Acid carbonate
C01013	3-Hydroxypropanoate		C3H6O3				3-Hydroxypropanoic acid;3-Hydroxypropionate;3-Hydroxypropionic acid;Hydracrylic acid
C00877	Crotonoyl-CoA		C25H40N7O17P3S				Crotonyl-CoA;2-Butenoyl-CoA;trans-But-2-enoyl-CoA;But-2-enoyl-CoA;(E)-But-2-enoyl-CoA
C00083	Malonyl-CoA		C24H38N7O19P3S				Malonyl coenzyme A
C00222	3-Oxopropanoate		C3H4O3				Malonate semialdehyde
C00080	H+		H				Hydron
C00894	Propenoyl-CoA		C24H38N7O17P3S				Acryloyl-CoA;Acrylyl-CoA
C01213	(R)-Methylmalonyl-CoA		C25H40N7O19P3S				L-Methylmalonyl-CoA
