R,OptFlux,MinSumFlux,Constraint,Minset,MinActFlux1,MinActFlux2,MinActFlux3,MinActFlux4,MinActFlux5,MinActFlux6,MinActFlux7,MinActFlux8,MinActFlux9,MinActFlux10,MinActFlux11,MinActFlux12,MinActFlux13,MinActFlux14,MinActFlux15,MinActFlux16,MinActFlux17,MinActFlux18,MinActFlux19,MinActFlux20,MinActFlux21,MinActFlux22,MinActFlux23,MinActFlux24,MinActFlux25,MinActFlux26,MinActFlux27,MinActFlux28,MinActFlux29,MinActFlux30,MinActFlux31,MinActFlux32,MinActFlux33,MinActFlux34,MinActFlux35,MinActFlux36,MinActFlux37,MinActFlux38,MinActFlux39,MinActFlux40,MinActFlux41,MinActFlux42,MinActFlux43,MinActFlux44,MinActFlux45,MinActFlux46,MinActFlux47,MinActFlux48,MinActFlux49,MinActFlux50,MinActFlux51,MinActFlux52,MinActFlux53,MinActFlux54,MinActFlux55,MinActFlux56,MinActFlux57,MinActFlux58,MinActFlux59,MinActFlux60,MinActFlux61,MinActFlux62,MinActFlux63,MinActFlux64,MinActFlux65,MinActFlux66,MinActFlux67,MinActFlux68,MinActFlux69,MinActFlux70,MinActFlux71,MinActFlux72,MinActFlux73,MinActFlux74,MinActFlux75,MinActFlux76,MinActFlux77,MinActFlux78,MinActFlux79,MinActFlux80,MinActFlux81,MinActFlux82,MinActFlux83,MinActFlux84,MinActFlux85,MinActFlux86,MinActFlux87,MinActFlux88,MinActFlux89,MinActFlux90,MinActFlux91,MinActFlux92,MinActFlux93,MinActFlux94,MinActFlux95,MinActFlux96,MinActFlux97,MinActFlux98,MinActFlux99,MinActFlux100,MinActFlux101,MinActFlux102,MinActFlux103,MinActFlux104,MinActFlux105,MinActFlux106,MinActFlux107,MinActFlux108,MinActFlux109,MinActFlux110,MinActFlux111,MinActFlux112,MinActFlux113,MinActFlux114,MinActFlux115,MinActFlux116,MinActFlux117,MinActFlux118,MinActFlux119,MinActFlux120,MinActFlux121,MinActFlux122,MinActFlux123,MinActFlux124,MinActFlux125,MinActFlux126,MinActFlux127,MinActFlux128
R_RNAS_LPL_bulg,78.7510485668,78.7510485668,0,0,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734,146.25194734
R_DADNK_bulg,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DALTAL_bulg,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_SHKK_bulg,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_NTD11_ther,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_METAT_bulg,11.6683935107,11.6683935107,0,0,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366,21.66987366
R_DRBK_bulg,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_CASPROTL_bulg,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_DNAS_LPL_bulg,17.4530879906,17.4530879906,0,0,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777,32.4128777
M_cys_L_c_bulg_src,7.61769302408,7.61769302408,0,0,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419,14.14714419
