Time_[h],R_EX_for_e_,R_biomass_LBUL10_bulg,sumQpcrBul,R_biomass_LBUL10_bulg_log,R_biomass_STR_ther,sumQpcrTher,R_biomass_STR_ther_log,R_EX_lcts_e_,R_EX_lac_L_e_,R_EX_gal_e_,R_EX_succ_e_,R_EX_val_L_e_,R_EX_ser_L_e_,R_EX_gln_L_e_,R_EX_lys_L_e_,R_EX_leu_L_e_,R_EX_met_L_e_,R_EX_trp_L_e_,R_EX_phe_L_e_,R_EX_ile_L_e_,R_EX_ac_e_,R_EX_pyr_e_
0.0,0.0796382205682,0.249859517588,7388678.12533,0.108533711803,0.0895609185271,7118895.65323,0.13045342765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.0
0.1,0.0840352808484,0.255778559871,7577860.67271,0.115564289894,0.0989220657391,7186251.93181,0.138911621931,-0.00425578179309,0.00105297629359,0.00114274480977,-6.85852745481e-07,6.53015630518e-08,2.53238052608e-08,8.69538580622e-11,6.00697400203e-08,9.94033199519e-07,2.19630231491e-07,2.54841621978e-12,1.10456600176e-05,2.35647286814e-08,-0.495704289691,-1.68424582418e-10
0.2,0.0886627579293,0.261672366855,7776479.39824,0.123002290285,0.109153493105,7261351.95382,0.147866245983,-0.0156119485395,0.0054672492265,0.0057539163681,-4.3548796159e-06,4.84162073157e-07,2.08914407677e-07,1.51299173704e-09,4.19778538059e-07,4.89090017264e-06,1.34672756783e-06,1.12874975763e-10,3.31031564105e-05,1.69086098614e-07,-0.412212668654,-2.81538571115e-09
0.3,0.0935313860079,0.267533051436,7984996.12085,0.130864711924,0.120312930323,7345084.9866,0.157339243917,-0.0333906108897,0.014329022183,0.0148117440621,-1.28396117491e-05,1.56295815923e-06,7.17878606379e-07,8.04471087866e-09,1.30900575337e-06,1.242151778e-05,3.89033818951e-06,1.03666254979e-09,6.29064516292e-05,5.35482567798e-07,-0.370044507941,-1.46225966528e-08
0.4,0.0986522470945,0.273352812901,8203894.35044,0.139168322109,0.132457027019,7438442.17328,0.167352505198,-0.0572578501641,0.0283857304833,0.0289697675145,-2.76516394752e-05,3.58969534735e-06,1.72348495541e-06,2.63259621662e-08,2.93348462827e-06,2.40642784664e-05,8.25774318307e-06,4.99948162393e-09,9.91991660112e-05,1.21325783583e-06,-0.342763146999,-4.70619928599e-08
0.5,0.104036763417,0.27912397039,8433680.21254,0.147929489851,0.145640135548,7542528.14422,0.177927686859,-0.0869843254434,0.0482353932602,0.048741586245,-5.01356153868e-05,6.84157505985e-06,3.39965281401e-06,6.60315364163e-08,5.48538484735e-06,4.01918621189e-05,1.48046890002e-05,1.6940412464e-08,0.000141228567809,2.28809158553e-06,-0.322991321146,-1.16528184201e-07
0.6,0.109696686767,0.284838994847,8674883.40235,0.157163996577,0.159912897468,7658573.93748,0.189086009075,-0.122390325952,0.0743850890152,0.0745561372735,-8.15257145633e-05,1.15881119426e-05,5.9222766662e-06,1.39977460911e-07,9.14748291981e-06,6.11148330587e-05,2.38532286418e-05,4.59160663871e-08,0.00018847203593,3.84228429943e-06,-0.307683539103,-2.44431308483e-07
0.7,0.115644084401,0.290490539166,8928058.16819,0.166886822837,0.175320641191,7787951.37209,0.200848022107,-0.163322805824,0.107278360661,0.106782970225,-0.000122975033013,1.80928663631e-05,9.4688285437e-06,2.64208315428e-07,1.40954199981e-05,8.71018757939e-05,3.5700785938e-05,1.06683023529e-07,0.000240535734056,5.95555030454e-06,-0.295306333006,-4.57269360849e-07
0.8,0.121891321075,0.296071466239,9193784.32388,0.177111909887,0.191901610668,7932189.03341,0.213233342775,-0.209643281321,0.147310337743,0.145745789429,-0.000175573412138,2.66145442147e-05,1.42180910059e-05,4.58069974087e-07,2.04991065173e-05,0.000118391051051,5.06254974367e-05,2.21437924823e-07,0.000297106535977,8.70551754978e-06,-0.284986234967,-7.8668767348e-07
0.9,0.128451036771,0.30157487465,9472668.28961,0.187851895284,0.209685059773,8092990.04567,0.22626035882,-0.261220498705,0.194836830398,0.19173027477,-0.000240359270815,3.74077516988e-05,2.03499614641e-05,7.44272180216e-07,2.85236697313e-05,0.000155196753918,6.88896277735e-05,4.21700238048e-07,0.000357925722738,1.21680696009e-05,-0.276181674425,-1.26952949406e-06
1.0,0.135336119618,0.306994121816,9765344.1605,0.19911782202,0.228689263821,8272251.82479,0.23994589982,-0.317925550291,0.250180045287,0.244988709721,-0.000318327949865,5.07235398778e-05,2.80452988795e-05,1.14894357775e-06,3.83301266587e-05,0.000197714324138,9.07418557571e-05,7.50326164062e-07,0.000422773160874,1.64175928163e-05,-0.268535320337,-1.94787996465e-06
1.1,0.142559673494,0.312322844398,10072474.8021,0.210918821158,0.248919517479,8472088.02365,0.254304873758,-0.379628393457,0.313632225737,0.305742653932,-0.000410437855794,6.68098106093e-05,3.74857967375e-05,1.70168089249e-06,5.007587814e-05,0.000246123252253,0.000116418837096,1.26364435892e-06,0.000491457113555,2.15271619658e-05,-0.261799895042,-2.86910494541e-06
1.2,0.150134979769,0.317554975847,10394752.9711,0.223261768534,0.270366205816,8694852.90274,0.269349868845,-0.446195246623,0.385457925869,0.374184334639,-0.000517615129978,8.59116253578e-05,4.88538724792e-05,2.43559341898e-06,6.39150788753e-05,0.000300589488108,0.000146146271094,2.03370559916e-06,0.000563807331699,2.75686834976e-05,-0.255797697293,-4.0858856281e-06
1.3,0.158075452587,0.322684761019,10732902.461,0.236150916782,0.293003050548,8943168.38102,0.285090720911,-0.517486575474,0.465895337189,0.450477156555,-0.000640757282549,0.000108271442508,6.23325669553e-05,3.38734363319e-06,7.99989170425e-05,0.000361267145193,0.000180139608005,3.15063943889e-06,0.00063967017574,3.46130082984e-05,-0.250397050157,-5.65624956739e-06
