Reaction ID,LB,UB
R_EXi_15dap_LPAREN_e_RPAREN_,0,0
R_EXi_23dhb_LPAREN_e_RPAREN_,0,0
R_EXi_26dap_M_LPAREN_e_RPAREN_,0,0
R_EXi_4abut_LPAREN_e_RPAREN_,0,0
R_EXi_acgal1p_LPAREN_e_RPAREN_,0,0
R_EXi_acgam1p_LPAREN_e_RPAREN_,0,0
R_EXi_acmum_LPAREN_e_RPAREN_,0,0
R_EXi_ade_LPAREN_e_RPAREN_,0,0
R_EXi_adn_LPAREN_e_RPAREN_,0,0
R_EXi_adocbl_LPAREN_e_RPAREN_,0,0
R_EXi_ag_LPAREN_e_RPAREN_,0,0
R_EXi_agm_LPAREN_e_RPAREN_,0,0
R_EXi_ala_B_LPAREN_e_RPAREN_,0,0
R_EXi_ala_D_LPAREN_e_RPAREN_,0,0
R_EXi_alaala_LPAREN_e_RPAREN_,0,0
R_EXi_ALC_LPAREN_e_RPAREN_,0,0
R_EXi_amp_LPAREN_e_RPAREN_,0,0
R_EXi_anhgm_LPAREN_e_RPAREN_,0,0
R_EXi_arbtn_fe3_LPAREN_e_RPAREN_,0,0
R_EXi_arbtn_LPAREN_e_RPAREN_,0,0
R_EXi_asp_D_LPAREN_e_RPAREN_,0,0
R_EXi_blvrdn_LPAREN_e_RPAREN_,0,0
R_EXi_cd2_LPAREN_e_RPAREN_,0,0
R_EXi_cgly_LPAREN_e_RPAREN_,0,0
R_EXi_chol_LPAREN_e_RPAREN_,0,0
R_EXi_cmp_LPAREN_e_RPAREN_,0,0
R_EXi_co_LPAREN_e_RPAREN_,0,0
R_EXi_co2_LPAREN_e_RPAREN_,0,0
R_EXi_cobalt2_LPAREN_e_RPAREN_,0,0
R_EXi_cpgn_LPAREN_e_RPAREN_,0,0
R_EXi_cpgn_un_LPAREN_e_RPAREN_,0,0
R_EXi_cu_LPAREN_e_RPAREN_,0,0
R_EXi_cu2_LPAREN_e_RPAREN_,0,0
R_EXi_cyan_LPAREN_e_RPAREN_,0,0
R_EXi_cytd_LPAREN_e_RPAREN_,0,0
R_EXi_dad_2_LPAREN_e_RPAREN_,0,0
R_EXi_damp_LPAREN_e_RPAREN_,0,0
